## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[outputs/SRR11647661.bam] OUTPUT=outputs/SRR11647661_dedp.bam METRICS_FILE=outputs/SRR11647661_metrics.txt REMOVE_DUPLICATES=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat May 02 13:33:33 EEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	20243	385962664	2288964	273197	4593	21259771	0	0.055087	3373627775

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
89.0	9.249995	4	4
90.0	9.250033	5	5
91.0	9.250067	3	3
92.0	9.250097	1	1
93.0	9.250124	3	3
94.0	9.250148	3	3
95.0	9.250169	2	2
96.0	9.250188	1	1
97.0	9.250205	2	2
98.0	9.250221	2	2
99.0	9.250234	0	0
100.0	9.250246	1	1
101.0	0	2	2
103.0	0	1	1
104.0	0	2	2
105.0	0	2	2
106.0	0	3	3
107.0	0	2	2
108.0	0	1	1
109.0	0	1	1
110.0	0	1	1
111.0	0	3	3
114.0	0	2	2
116.0	0	1	1
118.0	0	2	2
119.0	0	1	1
120.0	0	3	3
121.0	0	3	3
122.0	0	1	1
123.0	0	1	1
124.0	0	1	1
125.0	0	1	1
126.0	0	1	1
127.0	0	1	1
128.0	0	1	1
129.0	0	3	3
130.0	0	1	1
131.0	0	1	1
133.0	0	1	1
137.0	0	3	3
138.0	0	1	1
139.0	0	2	2
141.0	0	2	2
143.0	0	1	1
148.0	0	1	1
151.0	0	1	1
153.0	0	1	1
158.0	0	1	1
163.0	0	1	1
164.0	0	1	1
166.0	0	1	1
186.0	0	1	1
193.0	0	1	1
284.0	0	1	1
390.0	0	1	1
393.0	0	1	1
402.0	0	1	1
403.0	0	1	1
409.0	0	1	1
411.0	0	1	1
417.0	0	1	1
419.0	0	1	1
429.0	0	1	1
430.0	0	1	1
431.0	0	1	1
437.0	0	1	1
439.0	0	1	1
441.0	0	1	1
446.0	0	1	1
459.0	0	1	1
470.0	0	1	1
472.0	0	1	1

