## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[outputs/SRR11647661.bam] OUTPUT=outputs/SRR11647661_dedp.bam METRICS_FILE=outputs/SRR11647661_metrics.txt REMOVE_DUPLICATES=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat May 02 13:33:33 EEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	20243	385962664	2288964	273197	4593	21259771	0	0.055087	3373627775

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	345515212	345515212
2.0	1.891896	18003026	18003026
3.0	2.687374	910260	910260
4.0	3.396858	125403	125403
5.0	4.029644	51514	51514
6.0	4.594023	29335	29335
7.0	5.09739	18297	18297
8.0	5.546342	12032	12032
9.0	5.94676	8266	8266
10.0	6.303891	5988	5988
11.0	6.622415	4449	4449
12.0	6.906505	3440	3440
13.0	7.159883	2657	2657
14.0	7.385871	2177	2177
15.0	7.587428	1701	1701
16.0	7.767196	1321	1321
17.0	7.927531	1129	1129
18.0	8.070532	891	891
19.0	8.198075	729	729
20.0	8.31183	617	617
21.0	8.413287	500	500
22.0	8.503777	438	438
23.0	8.584484	363	363
24.0	8.656466	305	305
25.0	8.720667	265	265
26.0	8.777927	242	242
27.0	8.828998	196	196
28.0	8.874547	197	197
29.0	8.915172	140	140
30.0	8.951406	144	144
31.0	8.983723	122	122
32.0	9.012546	112	112
33.0	9.038253	119	119
34.0	9.061181	83	83
35.0	9.08163	71	71
36.0	9.099869	82	82
37.0	9.116136	86	86
38.0	9.130645	56	56
39.0	9.143585	50	50
40.0	9.155126	56	56
41.0	9.16542	57	57
42.0	9.174601	42	42
43.0	9.182789	53	53
44.0	9.190092	34	34
45.0	9.196606	26	26
46.0	9.202415	31	31
47.0	9.207597	37	37
48.0	9.212218	35	35
49.0	9.21634	27	27
50.0	9.220016	19	19
51.0	9.223295	24	24
52.0	9.226219	26	26
53.0	9.228827	16	16
54.0	9.231153	17	17
55.0	9.233228	17	17
56.0	9.235079	23	23
57.0	9.236729	21	21
58.0	9.238201	11	11
59.0	9.239514	18	18
60.0	9.240685	12	12
61.0	9.241729	14	14
62.0	9.242661	6	6
63.0	9.243491	12	12
64.0	9.244232	9	9
65.0	9.244893	13	13
66.0	9.245483	10	10
67.0	9.246008	8	8
68.0	9.246477	7	7
69.0	9.246895	5	5
70.0	9.247268	6	6
71.0	9.247601	10	10
72.0	9.247898	3	3
73.0	9.248162	4	4
74.0	9.248398	4	4
75.0	9.248609	5	5
76.0	9.248797	7	7
77.0	9.248964	8	8
78.0	9.249113	10	10
79.0	9.249247	6	6
80.0	9.249365	0	0
81.0	9.249471	1	1
82.0	9.249566	5	5
83.0	9.24965	4	4
84.0	9.249725	2	2
85.0	9.249792	3	3
86.0	9.249852	4	4
87.0	9.249905	2	2
88.0	9.249953	1	1
