## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[outputs/SRR11647659.bam] OUTPUT=outputs/SRR11647659_dedp.bam METRICS_FILE=outputs/SRR11647659_metrics.txt REMOVE_DUPLICATES=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat May 02 10:07:09 EEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	25616	359246656	2626702	570672	6481	32848839	0	0.091444	1842756343

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
89.0	5.645737	3	3
90.0	5.645737	2	2
91.0	5.645737	6	6
92.0	5.645737	1	1
93.0	5.645737	2	2
94.0	5.645737	4	4
95.0	5.645737	1	1
96.0	5.645737	0	0
97.0	5.645737	2	2
98.0	5.645737	1	1
99.0	5.645737	1	1
100.0	5.645737	3	3
101.0	0	3	3
102.0	0	2	2
103.0	0	2	2
104.0	0	3	3
105.0	0	2	2
106.0	0	3	3
107.0	0	1	1
108.0	0	1	1
109.0	0	1	1
110.0	0	2	2
111.0	0	4	4
112.0	0	3	3
114.0	0	2	2
115.0	0	2	2
116.0	0	1	1
118.0	0	2	2
119.0	0	3	3
120.0	0	1	1
122.0	0	1	1
125.0	0	2	2
128.0	0	2	2
129.0	0	1	1
130.0	0	1	1
133.0	0	1	1
134.0	0	1	1
137.0	0	1	1
139.0	0	1	1
140.0	0	2	2
145.0	0	1	1
150.0	0	2	2
152.0	0	1	1
153.0	0	1	1
154.0	0	1	1
156.0	0	1	1
157.0	0	1	1
158.0	0	1	1
160.0	0	1	1
162.0	0	1	1
448.0	0	1	1
461.0	0	1	1
472.0	0	1	1
473.0	0	1	1
474.0	0	1	1
496.0	0	1	1
499.0	0	3	3
501.0	0	1	1
504.0	0	1	1
513.0	0	1	1
522.0	0	1	1
532.0	0	1	1

