## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[outputs/SRR11647659.bam] OUTPUT=outputs/SRR11647659_dedp.bam METRICS_FILE=outputs/SRR11647659_metrics.txt REMOVE_DUPLICATES=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat May 02 10:07:09 EEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	25616	359246656	2626702	570672	6481	32848839	0	0.091444	1842756343

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	296448357	296448357
2.0	1.822875	27488597	27488597
3.0	2.499999	2214833	2214833
4.0	3.057187	188888	188888
5.0	3.515683	28395	28395
6.0	3.892969	10750	10750
7.0	4.203428	5803	5803
8.0	4.458896	3473	3473
9.0	4.669115	2217	2217
10.0	4.842099	1482	1482
11.0	4.984443	1006	1006
12.0	5.101575	660	660
13.0	5.19796	528	528
14.0	5.277272	389	389
15.0	5.342536	300	300
16.0	5.396241	250	250
17.0	5.440433	202	202
18.0	5.476797	155	155
19.0	5.506721	131	131
20.0	5.531344	103	103
21.0	5.551606	103	103
22.0	5.568279	80	80
23.0	5.581999	78	78
24.0	5.593288	62	62
25.0	5.602578	69	69
26.0	5.610223	49	49
27.0	5.616513	51	51
28.0	5.62169	38	38
29.0	5.625949	45	45
30.0	5.629454	37	37
31.0	5.632338	30	30
32.0	5.634712	36	36
33.0	5.636665	19	19
34.0	5.638272	29	29
35.0	5.639594	25	25
36.0	5.640682	23	23
37.0	5.641577	14	14
38.0	5.642314	13	13
39.0	5.642921	18	18
40.0	5.64342	24	24
41.0	5.64383	22	22
42.0	5.644168	18	18
43.0	5.644446	11	11
44.0	5.644675	15	15
45.0	5.644863	13	13
46.0	5.645018	11	11
47.0	5.645145	10	10
48.0	5.64525	3	3
49.0	5.645336	7	7
50.0	5.645407	10	10
51.0	5.645466	11	11
52.0	5.645514	5	5
53.0	5.645554	13	13
54.0	5.645586	8	8
55.0	5.645613	11	11
56.0	5.645635	4	4
57.0	5.645653	11	11
58.0	5.645668	7	7
59.0	5.64568	10	10
60.0	5.64569	5	5
61.0	5.645699	5	5
62.0	5.645706	10	10
63.0	5.645711	8	8
64.0	5.645716	4	4
65.0	5.64572	5	5
66.0	5.645723	3	3
67.0	5.645725	5	5
68.0	5.645727	9	9
69.0	5.645729	6	6
70.0	5.645731	5	5
71.0	5.645732	7	7
72.0	5.645733	8	8
73.0	5.645734	10	10
74.0	5.645734	4	4
75.0	5.645735	6	6
76.0	5.645735	6	6
77.0	5.645736	4	4
78.0	5.645736	3	3
79.0	5.645736	6	6
80.0	5.645736	4	4
81.0	5.645737	9	9
82.0	5.645737	5	5
83.0	5.645737	2	2
84.0	5.645737	3	3
85.0	5.645737	2	2
86.0	5.645737	4	4
87.0	5.645737	1	1
88.0	5.645737	4	4
